Issue-link,Issue-Title,Type of Libraries
https://github.com/spockframework/spock,/spockframework/spock/issues/498,Special case type constraint to just _ (underscore),BDD
https://github.com/spockframework/spock,/spockframework/spock/issues/80,Clarification should be added for Interaction Based testing,BDD
https://github.com/spockframework/spock,/spockframework/spock/issues/76,"Enable usage of Spring beans in @Shared fields, setupSpec() and cleanupSpec()",BDD
https://github.com/rampatra/jbot,/rampatra/jbot/issues/109,Issuing slash commands?,Bots
https://github.com/Ullink/simple-slack-api,/Itiviti/simple-slack-api/issues/77,Documentation improvement: Samples for event handlers,Bots
https://github.com/rubenlagus/TelegramBots,/rubenlagus/TelegramBots/issues/610,Make AbilityBot more DI friendly,Bots
https://github.com/rubenlagus/TelegramBots,/rubenlagus/TelegramBots/issues/516,Mistake in abilities bot Wiki setup section,Bots
https://github.com/rubenlagus/TelegramBots,/rubenlagus/TelegramBots/issues/281,javadoc & sendMessage,Bots
https://github.com/jacoco/jacoco,/jacoco/jacoco/issues/974,Improve report-aggregate documentation and behaviour,Code Coverage
https://github.com/jacoco/jacoco,/jacoco/jacoco/issues/902,Run coverage check on aggregate-report,Code Coverage
https://github.com/jacoco/jacoco,/jacoco/jacoco/issues/844,"""merge"" Goal should be bound to phase post-integration-test",Code Coverage
https://github.com/jacoco/jacoco,/jacoco/jacoco/issues/823,Add more user properties for maven integration test support,Code Coverage
https://github.com/jacoco/jacoco,/jacoco/jacoco/issues/446,"Add ""since"" Javadoc tags",Code Coverage
https://github.com/jacoco/jacoco,/jacoco/jacoco/issues/533,Fix incorrect placement of probes in case of JSR and RET instructions,Code Coverage
https://github.com/jacoco/jacoco,/jacoco/jacoco/issues/110,Style of JavaDoc is Broken,Code Coverage
https://github.com/jacoco/jacoco,/jacoco/jacoco/issues/11,Documentation: Introduction to Code Coverage,Code Coverage
https://github.com/jeremylong/DependencyCheck,/jeremylong/DependencyCheck/issues/2253,Add images of sample reports/outcomes of the tool to the readme,Code Security
https://github.com/jeremylong/DependencyCheck,/jeremylong/DependencyCheck/issues/1940,Fix examples on https://jeremylong.github.io/DependencyCheck/general/suppression.html,Code Security
https://github.com/jeremylong/DependencyCheck,/jeremylong/DependencyCheck/issues/1693,Document multi-module configuration with suppression file,Code Security
https://github.com/jeremylong/DependencyCheck,/jeremylong/DependencyCheck/issues/896,[Python] Analyze standalone PKG-INFO,Code Security
https://github.com/jeremylong/DependencyCheck,/jeremylong/DependencyCheck/issues/548,Request: Support Python's requirements.txt,Code Security
https://github.com/google/error-prone,/google/error-prone/issues/1422,use javadoc.io for javadoc hosting?,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/1410,False positive FunctionalInterfaceMethodChanged when signature changes,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/1314,Update Effective Java item references,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/1320,Refaster JavaDoc mentions non-existing class IsNonNullMatcher,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/1289,Update XepDisableWarningsInGeneratedCode doc on flags page,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/1293,Update Command-Line Instructions on https://errorprone.info,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/982,MutableMethodReturnType documentation should mention that the warning may not apply to APIs.,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/1053,RefasterRuleCompiler silently ignores compilation errors in refaster templates,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/736,Document Windows specific refaster command line,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/956,Exclude inner classes annotated with @Nested from ClassCanBeStatic rule,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/976,Bug Patterns page does not make clear first version on which each check is present,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/705,"Documentation: Var, question, request for update",Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/620,Document the bytecode output produced by Error Prone,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/643,Check for known reusable types being implicitly wasted.,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/556,Add some help from the command line,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/565,Check slf4j log messages are constant,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/517,Warn about catch blocks with a needlessly large scope,Code Quality
https://github.com/google/error-prone,/google/error-prone/issues/488,Enable/disable patterns by category,Code Quality
https://github.com/find-sec-bugs/find-sec-bugs,/find-sec-bugs/find-sec-bugs/issues/536,Detect hardcoded password for SSH private key,Code Quality
https://github.com/find-sec-bugs/find-sec-bugs,/find-sec-bugs/find-sec-bugs/issues/514,Potential path traversal when using filename from Zip archive,Code Quality
https://github.com/find-sec-bugs/find-sec-bugs,/find-sec-bugs/find-sec-bugs/issues/474,WebEngine / JSObject.setMember while embedding untrusted content,Code Quality
https://github.com/find-sec-bugs/find-sec-bugs,/find-sec-bugs/find-sec-bugs/issues/426,SECRD ReDOS false negative with javax.validation.constraints.Pattern,Code Quality
https://github.com/find-sec-bugs/find-sec-bugs,/find-sec-bugs/find-sec-bugs/issues/344,Avoid FP from Environment.getProperty (Path Traversal),Code Quality
https://github.com/find-sec-bugs/find-sec-bugs,/find-sec-bugs/find-sec-bugs/issues/335,SECRD ReDOS false-positve,Code Quality
https://github.com/find-sec-bugs/find-sec-bugs,/find-sec-bugs/find-sec-bugs/issues/363,FP: XXE_DOCUMENT does not detect secure processing flag in static initializer,Code Quality
https://github.com/find-sec-bugs/find-sec-bugs,/find-sec-bugs/find-sec-bugs/issues/198,Unexpected deserialization with RestEasy/Jersey,Code Quality
https://github.com/find-sec-bugs/find-sec-bugs,/find-sec-bugs/find-sec-bugs/issues/269,Detect File Disclosure Injection with Spring's RequestMapping and prefixed redirect string,Code Quality
https://github.com/find-sec-bugs/find-sec-bugs,/find-sec-bugs/find-sec-bugs/issues/143,Create a tutorials with demo projects for Gradle configuration,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/798,New rule for checking runtime PatternSyntaxException in regex usages,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/782,False positives and negatives of NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/1038,(Documentation) Miscellaneous documentation edits needed.,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/704,New performance rule for Appendable appending CharSequence,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/637,SimpleDateFormat string checks,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/651,findbugs:NP_NULL_ON_SOME_PATH_FROM_RETURN_VALUE does not consider null validation,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/1044,Documentation for Spotbugs - Technical tool analysis,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/566,Rank matcher and its documentation do not match,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/574,URF_UNREAD_FIELD: should be ignored on test class fields annotated with JUnit5's @RegisterExtension,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/540,Document how to integrate FInd Security Bugs + FB-Contrib into Maven & Gradle plugins,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/522,Supported annotations are not documented?,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/511,Adhering to EQ_DOESNT_OVERRIDE_EQUALS requires violation of equals method contract,Code Quality
https://github.com/spotbugs/spotbugs,/spotbugs/spotbugs/issues/993,Obsolete warning: ITA_INEFFICIENT_TO_ARRAY,Code Quality
https://github.com/spotbugs/spotbugs,/spothttps://github.com/google/styleguide,/google/styleguide/issues/486,Java Style Guide - Camel case examples,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/469,Intellij Java doc styling no longer works.,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/412,Java: 4.1.2 example: Missing opening brace in else if,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/391,JSON Style Guide top-level property 'data',Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/421,Autogenerate a table of contents in the Python style guide (pyguide),Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/406,C++ style guide:  rule for default case,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/417,Inconsistent indentation suggestions for Python,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/363,Follow the google HTML style guide in the style guide's HTML,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/371,Add comment metadata API autogeneration rules to C++ Style Guide.,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/364,The HTML style guide doesn't list what to do about language tagging,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/355,C++ Style Guide: Incorrect information about rvalue references,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/316,"I can't ""toggle summary"" on ""Google JSON Style Guide"" and ""Shell Style Guide""",Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/350,"Python ""yields"" should be specific about what type is returned",Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/303,Java Style Guide: Constants example (Joiner vs Logger),Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/326,Explain what a special prefix/suffix is,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/310,Publish an official TypeScript style guide,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/276,Rust style guide?,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/277,cpplint README does not specify Python version,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/262,Java style guide: state whether to indent blank lines or not,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/259,Java Style Guide: Line wrap at ellipsis,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/258,Java Style Guide: Line wrap at array declarator brackets,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/248,Java: Conflicts between eclipse-java-google-style.xml and HTML guide,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/226,Clearly articulate the rule for public methods parameter names in section 5.2.6 of Google Java Style Guide ,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/215,Java Style Guide: single line javadoc with at-clauses,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/207,Define the meaning of the term camel-case in the JSON Style Guide,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/213,Java Style Guide: Microseconds Unicode,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/197,"Suggest adding ""private static Function..."" to java constants examples",Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/201,Remove default list params in `cpplint.py`,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/222,Swift Style Guide,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/223,Migrate to Gitbooks?,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/112,Document lambda formatting for Java 8,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/66,Overly-strict description for single-line Javadoc at the Java Style Guide ,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/1,Example Function 'CalculateSampleCovariance' in the R Style Guide mixes use and omission of curly braces for single-statement blocks.,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/18,Missing a word in the `var` section of the JavaScript style guide,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/24,Contradiction in C++ style guide about scoped_ptr,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/41,Show Issues tab,Code Quality
https://github.com/google/styleguide,/google/styleguide/issues/32,Fix a broken link in cppguide.html,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/956,Incomplete documentation for developers,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/945,Static imports should be allowed in unit tests,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/875,improve IDE checkstyle setup documentation,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/804,Improve PMD configuration,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/774,Documentation for qulice-gradle-plugin,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/770,"No ""Missing @Override"" message and ""Missing Javadoc"" is a poor message when @Override could also solve",Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/707,Prohibit add comment to the first line of the Javadoc,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/523,Documentation does not mention how to exclude files from XML analysis,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/795,Check for jcabi-log logger to disallow String.format,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/708,Require newline between Javadoc contents and at-clauses,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/736,Prohibit declaring throws javadoc tag if there is no throws in signature,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/525,No documentation for PomXpathValidator,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/705,Type parameter descriptions should start with uppercase letter,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/554,Not meaningful violations when annotation is placed above Javadoc,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/684,Exclude all unnecessary files from dogfood check and reduce number of builds,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/688,Prohibit two empty lines in Javadoc,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/546,Website does not mention all custom Checkstyle checks,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/631,PMD and Checkstyle unit tests should be isolated,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/662,Check that second word in Javadoc for test is 'can',Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/657,UnnecessaryLocalRule has no test coverage,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/630,Add more flexibility to isolated unit tests,Code Quality
https://github.com/teamed/qulice,/teamed/qulice/issues/382,pom.xml <sourceDirectory> not respected?,Code Quality
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/2130,Consider making `DockerClient` an interface,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/2135,Maven settings.xml auth matching,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/1487,jib-maven-plugin is hardcoding the webappDirectory path for war plugins,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/1435,Guava Beta-Checker to error prone checks,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/1122,Consider providing JibExtension setters as methods.,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/2150,Unify test resources,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/2175,Set up Error Prone check to prevent use of native Gradle and Maven loggers,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/1458,Add integration tests for using Jib with other JVM languages,Containers
https://github.com/GoogleContainerTools/jib,/GoogleContainerTools/jib/issues/1618,Specify the path to the docker config file,Containers
